e,b,vi,ji,n12,n23,n31,nd,nc,v,vw,j,jw,delta_e
40000.0,2.25,3.0,3,0,0,1,0,0,7.0,1.594e-04,29.0,4.238e-02,8.61588196621188e-10
40000.0,2.25,3.0,3,1,0,0,0,0,1.0,7.390e-43,11.0,1.051e-07,-1.7064073876138508e-08
40000.0,2.25,3.0,3,1,0,0,0,0,0.0,1.128e-15,6.0,1.002e-41,-1.361564083701694e-08
40000.0,2.25,3.0,3,1,0,0,0,0,2.0,1.226e-19,8.0,3.864e+00,-8.49147002712769e-10
40000.0,2.25,3.0,3,1,0,0,0,0,1.0,3.121e-25,7.0,1.193e-24,-1.2246743286148387e-08
40000.0,2.25,3.0,3,1,0,0,0,0,1.0,6.621e-32,6.0,4.149e-01,-1.8843717836114493e-09
40000.0,2.25,3.0,3,1,0,0,0,0,3.0,6.558e-23,15.0,7.126e-06,-3.845700424776055e-09
40000.0,2.25,3.0,3,1,0,0,0,0,4.0,5.879e-01,11.0,1.119e+01,-1.3315712144024161e-09
40000.0,2.25,3.0,3,1,0,0,0,0,0.0,1.078e+01,13.0,3.790e-01,-1.563262264081544e-08
40000.0,2.25,3.0,3,1,0,0,0,0,3.0,3.219e-03,18.0,2.863e-28,-5.028525915107274e-09
40000.0,2.5,3.0,3,0,0,0,1,0,0,0.000e+00,0,0.000e+00,1.1711154303262195e-09
40000.0,2.5,3.0,3,0,0,1,0,0,12.0,7.901e-21,33.0,2.289e-06,5.844196168669491e-10
40000.0,2.5,3.0,3,0,0,1,0,0,11.0,1.045e-17,22.0,2.531e-03,6.347375611226447e-10
40000.0,2.5,3.0,3,0,0,1,0,0,11.0,4.635e-30,37.0,2.413e-31,1.1056903795325645e-09
40000.0,2.5,3.0,3,0,0,1,0,0,2.0,3.176e-13,11.0,9.054e-05,1.3719730906913696e-10
40000.0,2.5,3.0,3,1,0,0,0,0,-0.0,1.367e-01,16.0,1.679e-31,-2.588123161617606e-08
40000.0,2.5,3.0,3,1,0,0,0,0,2.0,6.718e-24,22.0,1.116e+01,-7.758193282247916e-09
40000.0,2.5,3.0,3,1,0,0,0,0,4.0,1.538e-37,11.0,5.325e-03,-1.3221922168238365e-09
40000.0,2.5,3.0,3,1,0,0,0,0,7.0,6.023e+00,8.0,1.547e-28,9.991296401334893e-10
40000.0,2.5,3.0,3,1,0,0,0,0,6.0,6.764e-24,6.0,1.087e-02,1.3872851062357583e-09
40000.0,2.75,3.0,3,1,0,0,0,0,3.0,2.599e-15,25.0,5.881e-23,-2.8654701944574867e-09
40000.0,2.75,3.0,3,1,0,0,0,0,0.0,2.150e-19,10.0,2.723e-14,-1.6141979836126197e-08
40000.0,2.75,3.0,3,1,0,0,0,0,3.0,2.991e-36,25.0,2.577e-01,-3.0616389007365186e-09
40000.0,2.75,3.0,3,1,0,0,0,0,0.0,1.203e-42,7.0,5.353e-16,-1.3329961232044774e-08
